donor_id,preferred_category,budget,preferred_location,urgency_preference,previous_donations
DONOR-073,Medical Aid,56805.32,Egypt - Aswan,Critical,0
DONOR-074,Education,32509.94,Jordan - Irbid,Critical,24
DONOR-075,Education,40627.95,Egypt - Giza,High,7
DONOR-076,Food,47600.67,Jordan - Amman,Medium,12
DONOR-077,Emergency Housing,46503.06,Tunisia - Tunis,Medium,23
DONOR-078,Emergency Housing,54018.96,Egypt - Giza,High,5
DONOR-079,Medical Aid,41055.28,Egypt - Cairo,High,17
DONOR-080,Medical Aid,24120.50,Egypt - Giza,Medium,10
DONOR-081,Food,47644.41,Egypt - Giza,High,22
DONOR-082,Emergency Housing,49590.59,Egypt - Cairo,Medium,19
DONOR-083,Emergency Housing,49754.39,Egypt - Alexandria,Medium,2
DONOR-084,Clothing,58128.25,Jordan - Irbid,High,13
DONOR-085,Water,48696.49,Jordan - Amman,High,28
DONOR-086,Food,57098.67,Egypt - Cairo,High,17
DONOR-087,Food,32832.07,Egypt - Cairo,Critical,11
DONOR-088,Food,28226.23,Lebanon - Beirut,Critical,19
DONOR-089,Food,19211.88,Egypt - Cairo,High,15
DONOR-090,Clothing,24426.39,Lebanon - Beirut,Medium,15
DONOR-091,Food,26736.62,Jordan - Amman,Critical,0
DONOR-092,Food,34404.79,Jordan - Amman,Medium,7
DONOR-093,Emergency Housing,48051.43,Egypt - Alexandria,Critical,22
DONOR-094,Food,33877.47,Jordan - Irbid,High,0
DONOR-095,Water,22491.86,Lebanon - Beirut,High,25
DONOR-096,Medical Aid,37765.13,Tunisia - Tunis,High,12
DONOR-097,Medical Aid,37925.38,Lebanon - Beirut,Low,9
DONOR-098,Education,18382.42,Egypt - Alexandria,Medium,15
DONOR-099,Medical Aid,50961.97,Egypt - Giza,Low,8
DONOR-100,Clothing,32755.02,Egypt - Alexandria,Low,25
