donation_id,donor_id,case_id,amount,date
DONATION-0059,DONOR-046,CASE-0055,2050.20,2025-09-11
DONATION-0060,DONOR-041,CASE-0280,1279.33,2025-10-06
DONATION-0061,DONOR-047,CASE-0474,1432.05,2025-12-28
DONATION-0062,DONOR-059,CASE-0019,1192.89,2026-08-19
DONATION-0063,DONOR-088,CASE-0491,1133.95,2026-06-13
DONATION-0064,DONOR-050,CASE-0035,1115.25,2026-07-01
DONATION-0065,DONOR-050,CASE-0418,1617.37,2026-07-21
DONATION-0066,DONOR-001,CASE-0385,282.64,2026-05-15
DONATION-0067,DONOR-010,CASE-0287,2160.38,2026-08-23
DONATION-0068,DONOR-063,CASE-0121,495.89,2026-06-26
DONATION-0069,DONOR-056,CASE-0446,126.26,2026-08-31
DONATION-0070,DONOR-016,CASE-0256,943.00,2025-12-04
DONATION-0071,DONOR-030,CASE-0445,193.52,2026-03-08
DONATION-0072,DONOR-030,CASE-0269,126.29,2026-04-19
DONATION-0073,DONOR-040,CASE-0115,855.96,2026-06-19
DONATION-0074,DONOR-069,CASE-0317,365.87,2025-05-15
DONATION-0075,DONOR-027,CASE-0443,1005.88,2025-07-24
DONATION-0076,DONOR-032,CASE-0388,1076.03,2026-02-26
DONATION-0077,DONOR-029,CASE-0017,734.00,2026-08-20
DONATION-0078,DONOR-079,CASE-0152,505.03,2026-08-17
DONATION-0079,DONOR-057,CASE-0256,98.29,2026-04-06
DONATION-0080,DONOR-028,CASE-0006,360.04,2026-04-26
DONATION-0081,DONOR-004,CASE-0112,1597.28,2026-09-05
DONATION-0082,DONOR-060,CASE-0129,1681.92,2026-08-28
DONATION-0083,DONOR-006,CASE-0147,1776.52,2026-08-28
DONATION-0084,DONOR-026,CASE-0024,1760.62,2026-05-30
DONATION-0085,DONOR-019,CASE-0290,490.88,2026-08-03
DONATION-0086,DONOR-079,CASE-0448,480.15,2026-09-07
DONATION-0087,DONOR-011,CASE-0184,362.67,2026-04-16
DONATION-0088,DONOR-041,CASE-0224,1586.93,2026-01-07
DONATION-0089,DONOR-087,CASE-0466,410.18,2025-11-10
DONATION-0090,DONOR-070,CASE-0119,2077.81,2026-02-27
DONATION-0091,DONOR-048,CASE-0266,1743.07,2026-06-16
DONATION-0092,DONOR-010,CASE-0283,1069.61,2026-07-01
DONATION-0093,DONOR-071,CASE-0134,77.69,2026-06-26
DONATION-0094,DONOR-008,CASE-0226,729.66,2026-01-16
DONATION-0095,DONOR-059,CASE-0081,1980.20,2026-03-21
DONATION-0096,DONOR-022,CASE-0367,1848.65,2026-07-15
DONATION-0097,DONOR-046,CASE-0025,1317.31,2026-02-20
DONATION-0098,DONOR-074,CASE-0450,1201.92,2025-09-20
DONATION-0099,DONOR-049,CASE-0130,2302.99,2026-05-20
DONATION-0100,DONOR-021,CASE-0260,466.90,2026-05-30
DONATION-0101,DONOR-003,CASE-0172,858.10,2026-08-28
DONATION-0102,DONOR-083,CASE-0217,1009.97,2026-08-14
DONATION-0103,DONOR-083,CASE-0137,960.60,2025-12-12
DONATION-0104,DONOR-093,CASE-0160,642.29,2026-04-28
DONATION-0105,DONOR-096,CASE-0346,1100.02,2026-08-06
DONATION-0106,DONOR-080,CASE-0231,621.84,2026-01-12
DONATION-0107,DONOR-088,CASE-0351,1172.56,2026-03-07
DONATION-0108,DONOR-029,CASE-0017,1849.01,2026-08-07
DONATION-0109,DONOR-010,CASE-0397,204.67,2025-12-07
DONATION-0110,DONOR-018,CASE-0399,1850.02,2026-05-08
DONATION-0111,DONOR-051,CASE-0018,343.65,2026-07-03
DONATION-0112,DONOR-074,CASE-0306,1436.71,2025-10-31
DONATION-0113,DONOR-013,CASE-0428,1005.92,2026-03-18
DONATION-0114,DONOR-036,CASE-0090,910.26,2026-01-09
DONATION-0115,DONOR-031,CASE-0261,380.59,2026-07-10
DONATION-0116,DONOR-038,CASE-0469,378.52,2026-07-08
DONATION-0117,DONOR-080,CASE-0470,1420.16,2026-08-09
DONATION-0118,DONOR-055,CASE-0080,228.41,2026-05-06
DONATION-0119,DONOR-065,CASE-0225,78.27,2025-12-21
DONATION-0120,DONOR-047,CASE-0340,2013.57,2026-06-22
DONATION-0121,DONOR-045,CASE-0032,2191.81,2026-07-26
DONATION-0122,DONOR-043,CASE-0016,1210.51,2025-08-27
DONATION-0123,DONOR-044,CASE-0117,224.56,2026-04-09
DONATION-0124,DONOR-066,CASE-0083,1128.39,2026-01-30
DONATION-0125,DONOR-013,CASE-0406,1764.20,2026-03-04
DONATION-0126,DONOR-039,CASE-0289,820.52,2026-07-29
DONATION-0127,DONOR-003,CASE-0276,207.31,2026-05-29
DONATION-0128,DONOR-097,CASE-0340,1686.35,2026-06-27
DONATION-0129,DONOR-088,CASE-0254,1910.44,2026-08-13
DONATION-0130,DONOR-058,CASE-0309,463.81,2026-09-04
DONATION-0131,DONOR-031,CASE-0240,1756.84,2026-08-20
DONATION-0132,DONOR-005,CASE-0128,1451.72,2026-06-18
DONATION-0133,DONOR-029,CASE-0260,1101.20,2025-11-14
DONATION-0134,DONOR-009,CASE-0338,507.59,2026-09-06
DONATION-0135,DONOR-069,CASE-0362,625.40,2026-08-22
DONATION-0136,DONOR-076,CASE-0232,1881.00,2026-08-16
DONATION-0137,DONOR-056,CASE-0397,461.10,2026-05-10
DONATION-0138,DONOR-096,CASE-0216,829.58,2026-05-21
DONATION-0139,DONOR-091,CASE-0280,1391.87,2026-06-28
DONATION-0140,DONOR-006,CASE-0129,768.66,2026-08-16
DONATION-0141,DONOR-044,CASE-0224,1918.56,2026-04-09
DONATION-0142,DONOR-053,CASE-0014,1898.54,2026-04-19
DONATION-0143,DONOR-100,CASE-0499,279.28,2026-08-31
DONATION-0144,DONOR-008,CASE-0425,664.43,2026-05-23
DONATION-0145,DONOR-092,CASE-0079,2060.94,2026-08-22
DONATION-0146,DONOR-048,CASE-0371,1441.34,2026-05-15
DONATION-0147,DONOR-072,CASE-0173,2305.92,2026-05-31
DONATION-0148,DONOR-027,CASE-0500,1885.08,2026-08-30
DONATION-0149,DONOR-072,CASE-0102,305.31,2026-02-18
DONATION-0150,DONOR-033,CASE-0395,2490.25,2026-03-18
DONATION-0151,DONOR-042,CASE-0035,650.99,2026-03-28
DONATION-0152,DONOR-065,CASE-0342,233.56,2026-09-06
DONATION-0153,DONOR-002,CASE-0172,2016.89,2026-06-16
DONATION-0154,DONOR-021,CASE-0376,2015.14,2025-11-24
DONATION-0155,DONOR-009,CASE-0058,161.00,2026-08-19
DONATION-0156,DONOR-085,CASE-0028,553.46,2026-03-14
DONATION-0157,DONOR-089,CASE-0150,1201.27,2026-06-21
DONATION-0158,DONOR-022,CASE-0427,1551.46,2026-08-06
DONATION-0159,DONOR-090,CASE-0023,1812.22,2026-08-21
DONATION-0160,DONOR-089,CASE-0378,2152.73,2026-07-27
DONATION-0161,DONOR-016,CASE-0003,1071.82,2025-11-05
DONATION-0162,DONOR-100,CASE-0258,892.90,2026-04-29
DONATION-0163,DONOR-043,CASE-0060,690.76,2025-11-28
DONATION-0164,DONOR-010,CASE-0330,874.69,2025-09-15
DONATION-0165,DONOR-030,CASE-0428,57.99,2026-04-18
DONATION-0166,DONOR-040,CASE-0406,1993.78,2026-08-06
DONATION-0167,DONOR-040,CASE-0156,734.58,2026-05-16
DONATION-0168,DONOR-063,CASE-0342,1966.33,2026-06-30
DONATION-0169,DONOR-034,CASE-0009,1830.80,2026-02-10
DONATION-0170,DONOR-089,CASE-0048,1198.55,2026-09-08
DONATION-0171,DONOR-079,CASE-0099,1151.70,2026-09-09
DONATION-0172,DONOR-086,CASE-0152,2277.35,2026-08-23
DONATION-0173,DONOR-079,CASE-0172,2074.65,2026-04-25
DONATION-0174,DONOR-091,CASE-0048,935.13,2026-08-28
DONATION-0175,DONOR-060,CASE-0271,103.60,2026-03-04
DONATION-0176,DONOR-059,CASE-0319,1364.59,2026-01-05
DONATION-0177,DONOR-033,CASE-0338,63.98,2026-07-08
DONATION-0178,DONOR-019,CASE-0491,1109.26,2026-08-01
DONATION-0179,DONOR-061,CASE-0450,2487.17,2026-05-21
DONATION-0180,DONOR-056,CASE-0364,1092.89,2026-07-24
DONATION-0181,DONOR-002,CASE-0199,2229.88,2026-05-03
DONATION-0182,DONOR-082,CASE-0200,136.46,2025-11-15
DONATION-0183,DONOR-074,CASE-0213,50.48,2026-06-15
DONATION-0184,DONOR-090,CASE-0248,987.82,2026-06-22
DONATION-0185,DONOR-007,CASE-0325,825.26,2025-12-10
DONATION-0186,DONOR-034,CASE-0292,57.14,2026-05-11
DONATION-0187,DONOR-014,CASE-0464,1223.40,2026-08-04
DONATION-0188,DONOR-052,CASE-0384,1082.57,2026-05-08
DONATION-0189,DONOR-089,CASE-0351,1968.11,2026-07-20
DONATION-0190,DONOR-033,CASE-0014,2467.65,2026-05-08
DONATION-0191,DONOR-047,CASE-0060,907.64,2025-12-06
DONATION-0192,DONOR-097,CASE-0351,1336.44,2025-10-06
DONATION-0193,DONOR-030,CASE-0335,703.45,2026-02-23
DONATION-0194,DONOR-007,CASE-0001,861.57,2026-08-26
DONATION-0195,DONOR-097,CASE-0312,1671.12,2026-06-10
DONATION-0196,DONOR-014,CASE-0188,1081.51,2026-05-29
DONATION-0197,DONOR-060,CASE-0139,2423.72,2025-11-05
DONATION-0198,DONOR-017,CASE-0314,1500.09,2026-02-11
DONATION-0199,DONOR-032,CASE-0313,736.31,2026-02-23
DONATION-0200,DONOR-060,CASE-0455,878.14,2026-06-26
DONATION-0201,DONOR-047,CASE-0473,636.92,2026-04-26
DONATION-0202,DONOR-061,CASE-0332,395.83,2026-08-26
DONATION-0203,DONOR-059,CASE-0191,1407.63,2026-09-08
DONATION-0204,DONOR-036,CASE-0368,786.09,2026-08-11
DONATION-0205,DONOR-005,CASE-0484,1421.65,2026-09-08
DONATION-0206,DONOR-029,CASE-0136,463.13,2026-09-06
DONATION-0207,DONOR-039,CASE-0211,1936.47,2025-10-11
DONATION-0208,DONOR-011,CASE-0106,2399.88,2026-03-10
DONATION-0209,DONOR-035,CASE-0250,2246.35,2026-03-13
DONATION-0210,DONOR-098,CASE-0186,1529.09,2026-01-16
DONATION-0211,DONOR-046,CASE-0034,2364.87,2026-04-05
DONATION-0212,DONOR-072,CASE-0304,1487.15,2026-04-21
DONATION-0213,DONOR-087,CASE-0392,1484.74,2026-06-20
DONATION-0214,DONOR-011,CASE-0403,882.44,2026-09-05
DONATION-0215,DONOR-007,CASE-0159,1117.55,2026-06-25
DONATION-0216,DONOR-038,CASE-0225,97.95,2025-12-18
DONATION-0217,DONOR-045,CASE-0003,1156.04,2026-09-04
DONATION-0218,DONOR-049,CASE-0307,723.39,2026-06-26
DONATION-0219,DONOR-051,CASE-0003,618.39,2026-07-10
DONATION-0220,DONOR-100,CASE-0276,1594.90,2026-04-14
DONATION-0221,DONOR-012,CASE-0098,630.71,2026-07-17
DONATION-0222,DONOR-024,CASE-0032,2053.35,2026-06-19
DONATION-0223,DONOR-071,CASE-0481,1360.27,2026-01-13
DONATION-0224,DONOR-090,CASE-0216,2429.49,2026-09-05
DONATION-0225,DONOR-019,CASE-0450,1740.90,2026-01-06
DONATION-0226,DONOR-052,CASE-0038,681.34,2025-06-30
DONATION-0227,DONOR-061,CASE-0448,1607.53,2026-08-29
DONATION-0228,DONOR-033,CASE-0309,2208.10,2026-08-23
DONATION-0229,DONOR-030,CASE-0460,1193.86,2026-06-10
DONATION-0230,DONOR-098,CASE-0133,1485.32,2026-07-28
DONATION-0231,DONOR-045,CASE-0466,2353.96,2025-10-31
DONATION-0232,DONOR-082,CASE-0104,659.99,2026-05-30
DONATION-0233,DONOR-083,CASE-0475,1936.37,2026-07-22
DONATION-0234,DONOR-095,CASE-0123,1165.92,2025-11-10
DONATION-0235,DONOR-014,CASE-0339,1856.71,2026-02-10
DONATION-0236,DONOR-093,CASE-0439,318.80,2026-04-05
DONATION-0237,DONOR-003,CASE-0125,1894.74,2026-09-05
DONATION-0238,DONOR-014,CASE-0235,1041.92,2026-01-12
DONATION-0239,DONOR-072,CASE-0110,2338.28,2026-08-29
DONATION-0240,DONOR-046,CASE-0375,352.18,2026-09-01
DONATION-0241,DONOR-022,CASE-0404,375.14,2026-08-28
DONATION-0242,DONOR-073,CASE-0264,1011.61,2025-11-06
DONATION-0243,DONOR-045,CASE-0217,2122.63,2026-08-04
DONATION-0244,DONOR-066,CASE-0238,1740.54,2026-08-01
DONATION-0245,DONOR-082,CASE-0002,2364.53,2026-06-22
DONATION-0246,DONOR-010,CASE-0327,2049.82,2026-07-14
DONATION-0247,DONOR-048,CASE-0082,1577.68,2025-12-24
DONATION-0248,DONOR-099,CASE-0496,934.06,2026-08-20
DONATION-0249,DONOR-075,CASE-0482,2327.94,2025-12-31
DONATION-0250,DONOR-092,CASE-0381,1621.20,2026-08-13
DONATION-0251,DONOR-055,CASE-0106,2214.19,2025-11-14
DONATION-0252,DONOR-077,CASE-0416,2433.71,2025-07-06
DONATION-0253,DONOR-016,CASE-0430,2338.71,2026-03-27
DONATION-0254,DONOR-036,CASE-0161,1258.19,2025-05-16
DONATION-0255,DONOR-006,CASE-0383,1006.49,2026-07-08
DONATION-0256,DONOR-070,CASE-0132,1070.40,2026-03-16
DONATION-0257,DONOR-043,CASE-0170,459.05,2026-06-15
DONATION-0258,DONOR-094,CASE-0437,1672.35,2026-01-04
DONATION-0259,DONOR-001,CASE-0043,1330.80,2026-07-25
DONATION-0260,DONOR-016,CASE-0202,1940.93,2025-12-20
DONATION-0261,DONOR-033,CASE-0040,1787.41,2026-09-04
DONATION-0262,DONOR-095,CASE-0048,161.74,2026-09-04
DONATION-0263,DONOR-070,CASE-0182,467.85,2025-08-17
DONATION-0264,DONOR-017,CASE-0309,1514.97,2026-08-27
DONATION-0265,DONOR-032,CASE-0269,775.52,2026-09-02
DONATION-0266,DONOR-003,CASE-0217,1243.98,2026-06-28
DONATION-0267,DONOR-012,CASE-0291,1819.03,2025-06-29
DONATION-0268,DONOR-064,CASE-0398,2430.87,2026-07-02
DONATION-0269,DONOR-074,CASE-0191,1866.14,2026-08-26
DONATION-0270,DONOR-018,CASE-0178,2310.69,2026-07-19
DONATION-0271,DONOR-035,CASE-0295,292.12,2026-03-13
DONATION-0272,DONOR-074,CASE-0294,1389.56,2026-09-09
DONATION-0273,DONOR-011,CASE-0472,1855.76,2026-06-04
DONATION-0274,DONOR-005,CASE-0106,934.99,2026-04-11
DONATION-0275,DONOR-046,CASE-0362,1619.14,2026-03-22
DONATION-0276,DONOR-033,CASE-0389,1832.03,2025-11-25
DONATION-0277,DONOR-026,CASE-0350,1543.67,2025-11-23
DONATION-0278,DONOR-002,CASE-0145,423.12,2026-01-11
DONATION-0279,DONOR-011,CASE-0308,1663.22,2026-07-23
DONATION-0280,DONOR-063,CASE-0087,1139.06,2026-05-10
DONATION-0281,DONOR-099,CASE-0424,1313.14,2026-08-07
DONATION-0282,DONOR-024,CASE-0084,1189.27,2025-12-27
DONATION-0283,DONOR-007,CASE-0228,2111.51,2026-07-22
DONATION-0284,DONOR-063,CASE-0182,2285.69,2026-01-12
DONATION-0285,DONOR-027,CASE-0473,1809.85,2026-05-23
DONATION-0286,DONOR-091,CASE-0007,733.05,2026-09-06
DONATION-0287,DONOR-092,CASE-0028,2071.43,2025-07-06
DONATION-0288,DONOR-003,CASE-0496,176.43,2026-06-30
DONATION-0289,DONOR-070,CASE-0448,583.90,2026-09-04
DONATION-0290,DONOR-079,CASE-0133,753.51,2026-05-18
DONATION-0291,DONOR-009,CASE-0166,795.67,2026-02-03
DONATION-0292,DONOR-058,CASE-0150,58.74,2026-08-04
DONATION-0293,DONOR-010,CASE-0443,1323.04,2025-12-14
DONATION-0294,DONOR-076,CASE-0104,229.89,2026-01-01
DONATION-0295,DONOR-020,CASE-0477,1545.87,2026-09-02
DONATION-0296,DONOR-058,CASE-0494,2216.55,2026-05-19
DONATION-0297,DONOR-036,CASE-0260,1397.41,2025-10-02
DONATION-0298,DONOR-070,CASE-0265,234.40,2025-12-11
DONATION-0299,DONOR-094,CASE-0265,2091.53,2025-11-27
DONATION-0300,DONOR-081,CASE-0420,2304.46,2026-09-09
DONATION-0301,DONOR-035,CASE-0038,1397.83,2026-05-20
DONATION-0302,DONOR-011,CASE-0238,50.11,2026-07-09
DONATION-0303,DONOR-075,CASE-0213,494.64,2025-11-17
DONATION-0304,DONOR-007,CASE-0432,2349.42,2025-08-13
DONATION-0305,DONOR-002,CASE-0476,1368.62,2026-07-19
DONATION-0306,DONOR-055,CASE-0462,1409.51,2026-02-27
DONATION-0307,DONOR-095,CASE-0082,363.99,2025-12-15
DONATION-0308,DONOR-083,CASE-0165,1144.37,2026-05-04
DONATION-0309,DONOR-058,CASE-0023,1349.20,2026-07-05
DONATION-0310,DONOR-024,CASE-0495,1974.98,2026-08-07
DONATION-0311,DONOR-093,CASE-0494,117.75,2026-07-11
DONATION-0312,DONOR-061,CASE-0030,114.11,2026-03-04
DONATION-0313,DONOR-070,CASE-0121,784.30,2026-07-02
DONATION-0314,DONOR-074,CASE-0494,518.74,2026-03-12
DONATION-0315,DONOR-058,CASE-0218,2362.70,2026-03-22
DONATION-0316,DONOR-015,CASE-0418,93.90,2026-06-30
DONATION-0317,DONOR-008,CASE-0325,1840.30,2026-03-31
DONATION-0318,DONOR-060,CASE-0223,208.04,2026-08-17
DONATION-0319,DONOR-010,CASE-0201,1927.42,2026-02-28
DONATION-0320,DONOR-024,CASE-0023,1889.19,2026-07-08
DONATION-0321,DONOR-042,CASE-0356,2108.95,2026-01-14
DONATION-0322,DONOR-034,CASE-0165,721.57,2026-04-18
DONATION-0323,DONOR-051,CASE-0056,1331.31,2025-11-24
DONATION-0324,DONOR-013,CASE-0008,588.37,2026-01-27
DONATION-0325,DONOR-065,CASE-0484,223.08,2026-08-30
DONATION-0326,DONOR-023,CASE-0485,1173.53,2026-07-25
DONATION-0327,DONOR-029,CASE-0028,812.98,2025-08-25
DONATION-0328,DONOR-004,CASE-0190,785.85,2025-11-25
DONATION-0329,DONOR-077,CASE-0233,1821.11,2026-06-11
DONATION-0330,DONOR-096,CASE-0242,994.33,2026-01-16
DONATION-0331,DONOR-073,CASE-0482,1859.49,2025-12-11
DONATION-0332,DONOR-018,CASE-0003,1121.26,2026-09-06
DONATION-0333,DONOR-025,CASE-0264,1948.45,2025-12-09
DONATION-0334,DONOR-035,CASE-0076,2311.10,2026-07-24
DONATION-0335,DONOR-006,CASE-0174,701.99,2026-07-27
DONATION-0336,DONOR-002,CASE-0333,2443.37,2026-09-06
DONATION-0337,DONOR-079,CASE-0189,620.27,2026-08-14
DONATION-0338,DONOR-039,CASE-0330,445.55,2025-10-23
DONATION-0339,DONOR-062,CASE-0098,908.03,2026-02-21
DONATION-0340,DONOR-019,CASE-0126,2254.78,2026-02-27
DONATION-0341,DONOR-031,CASE-0185,57.56,2026-06-02
DONATION-0342,DONOR-090,CASE-0238,62.00,2026-05-21
DONATION-0343,DONOR-065,CASE-0207,1624.66,2026-07-22
DONATION-0344,DONOR-058,CASE-0085,748.29,2025-08-03
DONATION-0345,DONOR-025,CASE-0172,2190.67,2026-03-03
DONATION-0346,DONOR-035,CASE-0220,1051.75,2025-08-31
DONATION-0347,DONOR-085,CASE-0221,986.54,2026-08-06
DONATION-0348,DONOR-097,CASE-0254,1445.51,2026-03-07
DONATION-0349,DONOR-076,CASE-0328,1867.48,2026-08-14
DONATION-0350,DONOR-093,CASE-0446,1119.78,2026-08-10
DONATION-0351,DONOR-071,CASE-0090,874.95,2026-07-04
DONATION-0352,DONOR-050,CASE-0340,2397.08,2026-03-15
DONATION-0353,DONOR-092,CASE-0356,1967.89,2026-08-27
DONATION-0354,DONOR-034,CASE-0081,191.70,2025-10-01
DONATION-0355,DONOR-084,CASE-0123,2000.82,2026-02-15
DONATION-0356,DONOR-091,CASE-0148,1702.98,2026-06-25
DONATION-0357,DONOR-034,CASE-0464,2130.83,2026-05-17
DONATION-0358,DONOR-026,CASE-0002,2440.72,2026-06-26
DONATION-0359,DONOR-064,CASE-0184,63.78,2026-03-09
DONATION-0360,DONOR-001,CASE-0112,245.72,2026-08-21
DONATION-0361,DONOR-093,CASE-0264,475.28,2026-07-20
DONATION-0362,DONOR-062,CASE-0316,1502.00,2026-06-09
DONATION-0363,DONOR-051,CASE-0054,1973.38,2026-07-04
DONATION-0364,DONOR-082,CASE-0268,2298.95,2026-07-06
DONATION-0365,DONOR-096,CASE-0340,1498.67,2026-07-26
DONATION-0366,DONOR-080,CASE-0157,179.55,2026-04-11
DONATION-0367,DONOR-069,CASE-0159,2124.11,2026-06-19
DONATION-0368,DONOR-023,CASE-0472,1936.48,2026-08-02
DONATION-0369,DONOR-045,CASE-0129,188.12,2026-07-27
DONATION-0370,DONOR-086,CASE-0354,2008.66,2026-04-02
DONATION-0371,DONOR-073,CASE-0485,2383.69,2026-03-05
DONATION-0372,DONOR-029,CASE-0009,630.83,2026-01-01
DONATION-0373,DONOR-055,CASE-0166,775.93,2026-07-21
DONATION-0374,DONOR-073,CASE-0051,1648.83,2026-05-16
DONATION-0375,DONOR-074,CASE-0195,972.86,2026-06-09
DONATION-0376,DONOR-060,CASE-0321,2048.98,2026-09-09
DONATION-0377,DONOR-048,CASE-0335,1429.52,2026-02-11
DONATION-0378,DONOR-029,CASE-0119,191.10,2025-12-19
DONATION-0379,DONOR-092,CASE-0345,184.29,2026-05-24
DONATION-0380,DONOR-076,CASE-0112,341.97,2026-08-16
DONATION-0381,DONOR-043,CASE-0282,760.01,2026-03-14
DONATION-0382,DONOR-046,CASE-0365,1234.44,2025-06-28
DONATION-0383,DONOR-078,CASE-0140,2385.75,2025-12-21
DONATION-0384,DONOR-041,CASE-0418,95.95,2026-07-25
DONATION-0385,DONOR-091,CASE-0344,906.76,2026-08-14
DONATION-0386,DONOR-041,CASE-0065,1390.21,2026-04-24
DONATION-0387,DONOR-037,CASE-0310,2061.09,2026-02-06
DONATION-0388,DONOR-053,CASE-0387,1235.28,2026-06-06
DONATION-0389,DONOR-028,CASE-0326,97.34,2026-08-27
DONATION-0390,DONOR-053,CASE-0429,839.95,2026-02-26
DONATION-0391,DONOR-094,CASE-0174,2205.42,2026-07-29
DONATION-0392,DONOR-090,CASE-0170,114.62,2026-03-04
DONATION-0393,DONOR-088,CASE-0339,1235.59,2026-07-22
DONATION-0394,DONOR-041,CASE-0161,644.24,2026-02-19
DONATION-0395,DONOR-098,CASE-0195,2469.49,2026-07-15
DONATION-0396,DONOR-092,CASE-0465,804.00,2026-06-14
DONATION-0397,DONOR-038,CASE-0470,423.11,2026-04-05
DONATION-0398,DONOR-040,CASE-0137,848.02,2026-03-20
DONATION-0399,DONOR-095,CASE-0092,1293.51,2026-08-31
DONATION-0400,DONOR-032,CASE-0056,476.87,2026-08-30
DONATION-0401,DONOR-039,CASE-0032,63.44,2026-09-04
DONATION-0402,DONOR-089,CASE-0140,1727.13,2026-07-27
DONATION-0403,DONOR-042,CASE-0043,2199.36,2026-04-13
DONATION-0404,DONOR-023,CASE-0014,306.70,2026-08-28
DONATION-0405,DONOR-075,CASE-0072,2245.00,2026-01-02
DONATION-0406,DONOR-018,CASE-0298,1407.51,2026-08-24
DONATION-0407,DONOR-051,CASE-0145,2388.48,2025-12-24
DONATION-0408,DONOR-091,CASE-0149,2467.92,2026-08-27
DONATION-0409,DONOR-075,CASE-0377,1786.31,2025-10-29
DONATION-0410,DONOR-015,CASE-0016,134.69,2026-08-26
DONATION-0411,DONOR-090,CASE-0002,171.39,2026-06-13
DONATION-0412,DONOR-001,CASE-0157,2446.15,2026-05-04
DONATION-0413,DONOR-031,CASE-0270,1238.59,2026-05-04
DONATION-0414,DONOR-038,CASE-0145,997.66,2025-08-01
DONATION-0415,DONOR-067,CASE-0080,1250.06,2026-02-14
